Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Se Não Avisar O Bicho Pega	O Rappa		Lado B Lado A						Brasil\Live\	7710845	279	1	1	7	13	1999	09/Oct/2023 6:36 PM	01/Jun/2014 3:45 PM	216	48000		MPEG audio file								D:\MP3\Brasil\R\O Rappa - Se Não Avisar O Bicho Pega.mp3
Minha Alma (A Paz Que Eu Não Quero)	O Rappa		Lado B Lado A						Brasil\Rock\	4997505	299			6		1999	09/Oct/2023 6:36 PM	18/Apr/2021 9:56 PM	128	44100		MPEG audio file								D:\MP3\Brasil\R\O Rappa - Minha Alma (A Paz Que Eu Não Quero).mp3
Pescador De Ilusões	O Rappa		Rappa-Mundi						Brasil\Novela\Rock\	6463105	264			6		1994	09/Oct/2023 6:36 PM	22/Oct/2014 9:12 PM	192	44100		MPEG audio file								D:\MP3\Brasil\R\O Rappa - Pescador De Ilusões.mp3
Eu Quero Ver Gol (Acústico MTV)	O Rappa		Rappa-Mundi	Searched\Ok					Brasil\Pop\	7932499	393	1	1	13	13	1994	09/Oct/2023 6:36 PM	26/Apr/2014 4:36 PM	160	44100		MPEG audio file								D:\MP3\Brasil\R\O Rappa - Eu Quero Ver Gol (Acústico MTV).mp3
Cadê Você	Odair José		Odair José	Searched\Found\					Brasil\Favorite\MPB\	3882880	237					1973	07/Jun/2023 8:39 PM	13/Apr/2013 6:52 PM	128	44100		MPEG audio file								D:\MP3\Favorites_Brasil\Odair José - Cadê Você.mp3
Sua Cartinha	Odair José		Odair José						Brasil\Pop\	3854183	231					1970	07/Jun/2023 7:53 PM	21/Apr/2014 6:50 PM	128	44100		MPEG audio file					1	31/May/2014 8:51 PM		D:\MP3\Brasil\O\Odair José - Sua Cartinha.mp3
Eye Can See You (Offer Nissim Club Mix)	Offer Nissim Feat. Suzanne Palmer		Happy People						House\	19445534	483	1	2	10	10	2008	07/Jun/2023 9:00 PM	14/Dec/2019 12:12 AM	320	44100		MPEG audio file								D:\MP3\O\Offer Nissim Feat. Suzanne Palmer - Eye Can See You (Offer Nissim Club Mix).mp3
Happy People	Offer Nissim Feat. Maya		Happy People	Searched\					Favorite\House\Dance\	5320734	451					2008	07/Jun/2023 8:35 PM	01/Jul/2012 6:02 AM	80	44100		MPEG audio file			30	30/Aug/2018 8:23 PM	27	13/Jan/2022 8:14 PM		D:\MP3\Favorites\Offer Nissim Feat. Maya - Happy People.mp3
Panis Et Circenses	Os Mutantes		Os Mutantes	Searched\Found\					Brasil\Favorite\Psychedelic\Rock\Alternative\Psychedelic Rock\	8736321	215			3		1968	07/Jun/2023 7:34 PM	20/Nov/2021 3:05 AM	320	44100		MPEG audio file					1	25/Feb/2023 6:30 PM		D:\MP3\Favorites_Brasil\Os Mutantes - Panis Et Circenses.mp3
Dia 36	Os Mutantes		Os Mutantes						Brasil\Alternative\MPB\	4983655	242			3		1969	07/Jun/2023 7:52 PM	31/Jul/2016 10:31 PM	160	44100		MPEG audio file								D:\MP3\Brasil\M\Os Mutantes - Dia 36.mp3
