Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Sugar, Sugar	The Archies	Various	Sugar Sugar	Searched\PrevUnplayable\Tag_file_match\					iPhone\Favorite\Novela\Pop\	7016964	169	3		11		1969	12/Mar/2024 1:36 PM	15/Apr/2021 1:27 AM	320	44100		MPEG audio file			21	27/Feb/2025 8:32 PM	8	06/Mar/2025 6:54 PM		E:\MP3\Favorites\The Archies - Sugar, Sugar.mp3
This Beat Is Hot	B.G. The Prince Of Rap		The Power Of Rhythm	Searched\Found\Tag_file_match\PrevUnplayable\					iPhone\Favorite\Flash House\	8021386	247					1991	02/Aug/2024 9:08 PM	01/Jul/2012 6:01 AM	256	44100		MPEG audio file			62	05/Oct/2024 5:56 PM	34	13/Apr/2025 3:33 AM		E:\MP3\Favorites\B.G. The Prince Of Rap - This Beat Is Hot.mp3
Dancing With Myself	Billy Idol & Generation X		White Wedding	Searched\Found\PrevUnplayable					iPhone\Favorite\Rock\Punk\	11732992	290	1	1	1	16	1981	23/May/2024 12:19 AM	04/Sep/2016 2:30 AM	320	44100		MPEG audio file			21	29/May/2022 11:49 PM	19	13/Apr/2025 3:33 AM		E:\MP3\Favorites\Billy Idol - Dancing With Myself.mp3
Heaven	Bryan Adams		So Far So Good	Searched\Found\Tag_file_match\PrevUnplayable\					iPhone\Favorite\Easy\Novela\Rock\Selected\Pop\	7984198	244					1984	02/Aug/2024 9:08 PM	01/Jul/2012 6:01 AM	256	44100		MPEG audio file			138	21/Feb/2025 10:02 PM	22	30/Apr/2024 8:46 PM		E:\MP3\Favorites\Bryan Adams - Heaven.mp3
Have You Ever Seen The Rain	Creedence Clearwater Revival		Pendulum	Searched\Found\Tag_file_match\PrevUnplayable\					iPhone\Favorite\Rock\	6634216	162					1968	02/Aug/2024 9:07 PM	01/Jul/2012 6:01 AM	320	44100		MPEG audio file			108	21/Jan/2025 11:07 PM	31	01/Jun/2024 5:45 PM		E:\MP3\Favorites\Creedence Clearwater Revival - Have You Ever Seen The Rain.mp3
Pump It Up	Danzel		Pump It Up	Searched\Found\Tag_file_match\PrevUnplayable					iPhone\Favorite\Dance\House\	7365412	224					2004	12/Aug/2024 7:59 PM	01/Jul/2012 6:01 AM	256	44100		MPEG audio file			30	05/Feb/2023 3:37 PM	23	13/Apr/2025 3:33 AM		E:\MP3\Favorites\Danzel - Pump It Up.mp3
Time	David Guetta Feat. Chris Willis		Guetta Blaster	Searched\Tag_file_match\PrevUnplayable\					iPhone\Favorite\Electronic\Dance\	6056351	247	1	1	5	14	2004	02/Aug/2024 9:10 PM	07/Apr/2014 6:01 PM	192	44100		MPEG audio file			44	05/Apr/2025 3:07 PM	1	07/Apr/2021 9:19 PM		E:\MP3\Favorites\David Guetta Feat. Chris Willis - Time.mp3
You Spin Me Round (Like A Record)	Dead Or Alive		Now That's What I Call Music! 63	Searched\PrevUnplayable\Tag_file_match\					iPhone\Favorite\Pop\	7841900	193	1	1	8	19	1985	12/Mar/2024 1:39 PM	14/Dec/2019 12:12 AM	320	44100		MPEG audio file			18	15/Oct/2024 10:38 PM	7	06/Mar/2025 10:15 PM		E:\MP3\Favorites\Dead Or Alive - You Spin Me Round (Like A Record) (1).mp3
Fata Morgana	Dissidenten		Sahara Elektrik	Searched\Found\Tag_file_match\PrevUnplayable\					iPhone\Favorite\Novela\Worldwide\Leftfield\	4585845	186			3	16	1984	02/Aug/2024 9:08 PM	01/Jul/2012 6:01 AM	192	44100		MPEG audio file			70	25/Jan/2025 7:55 PM	23	30/Apr/2024 8:52 PM		E:\MP3\Favorites\Dissidenten - Fata Morgana.mp3
I Don't Want Your Love	Duran Duran		Decade	Searched\Found\Tag_file_match\PrevUnplayable					iPhone\Favorite\Rock\Pop\Synth-pop\	9658368	228			14		1988	10/Mar/2024 12:11 AM	13/Dec/2019 2:46 AM	320	44100		MPEG audio file			22	04/May/2024 5:36 PM	9	30/Apr/2024 8:52 PM		E:\MP3\Favorites\Duran Duran - I Don't Want Your Love.mp3
Don't Go Breaking My Heart	Elton John & Kiki Dee	Ann Orson/Carte Blanche	The Very Best Of Elton John	Searched\GreatestHits\Tag_file_match\PrevUnplayable\					iPhone\Favorite\Pop\	11221697	274			547		1976	02/Aug/2024 9:07 PM	01/Jul/2012 6:07 AM	320	44100		MPEG audio file			31	23/Dec/2023 5:32 PM	25	22/Feb/2025 9:34 PM		E:\MP3\Favorites\Elton John & Kiki Dee - Don't Go Breaking My Heart.mp3
Don't Be Cruel	Elvis Presley	Otis Blackswell	Blue Suede Shoes	Searched\Found\Tag_file_match\PrevUnplayable					iPhone\Favorite\Novela\Rock\	5079040	124			11		1956	12/Aug/2024 7:59 PM	14/Dec/2019 12:12 AM	320	44100		MPEG audio file			13	06/Apr/2023 9:37 PM	7	17/Feb/2025 6:16 PM		E:\MP3\Favorites\Elvis Presley - Don't Be Cruel.mp3
Got What You Need	Eve Feat. Drag On	Mel 'Drag On' Smalls	Scorpion	Searched\Tag_file_match\PrevUnplayable					iPhone\Favorite\Novela\Hip-Hop\Rap\Pop\R&B\	5826977	236	1	1	5	13	2001	10/Mar/2024 12:16 AM	29/Apr/2014 10:47 PM	192	44100		MPEG audio file			32	07/Dec/2024 8:33 PM	24	13/Apr/2025 3:34 AM		E:\MP3\Favorites\Eve Feat. Drag On - Got What You Need.mp3
Faith	George Michael		Faith	Searched\Found\Tag_file_match\PrevUnplayable\					iPhone\Favorite\Pop\Rock\	7918926	196					1987	02/Aug/2024 9:08 PM	01/Jul/2012 6:01 AM	320	44100		MPEG audio file			82	13/Aug/2024 9:37 PM	85	17/Sep/2024 9:43 PM		E:\MP3\Favorites\George Michael - Faith.mp3
